Date,Name_of_State/UT,Confirmed_cases,Death,Cured
24-05-2020,Delhi,12910,231,6267
25-05-2020,Delhi,13418,261,6540
26-05-2020,Delhi,14053,276,6771
27-05-2020,Delhi,14465,288,7223
28-05-2020,Delhi,15257,303,7264
29-05-2020,Delhi,16281,316,7495
30-05-2020,Delhi,17386,398,7846
31-05-2020,Delhi,18549,416,8075
01-06-2020,Delhi,19844,473,8478
02-06-2020,Delhi,20834,523,8746
03-06-2020,Delhi,22132,556,9243
04-06-2020,Delhi,23645,606,9542
05-06-2020,Delhi,25004,650,9898
06-06-2020,Delhi,26334,708,10315
07-06-2020,Delhi,27654,761,10664
08-06-2020,Delhi,28936,812,10999
09-06-2020,Delhi,29943,874,11357
10-06-2020,Delhi,31309,905,11861
11-06-2020,Delhi,32810,984,12245
12-06-2020,Delhi,34687,1085,12731
13-06-2020,Delhi,36824,1214,13398
14-06-2020,Delhi,38958,1271,14945
15-06-2020,Delhi,41182,1327,15823
16-06-2020,Delhi,42829,1400,16427
17-06-2020,Delhi,44688,1837,16500
18-06-2020,Delhi,47102,1904,17457
19-06-2020,Delhi,49979,1969,21341
20-06-2020,Delhi,53116,2035,23569
21-06-2020,Delhi,56746,2112,31294
22-06-2020,Delhi,59746,2175,33013
23-06-2020,Delhi,62655,2233,36602
24-06-2020,Delhi,66602,2301,39313
25-06-2020,Delhi,70390,2365,41437
27-06-2020,Delhi,77240,2492,47091
28-06-2020,Delhi,80188,2558,49301
29-06-2020,Delhi,83077,2623,52607
30-06-2020,Delhi,85161,2680,56235
02-07-2020,Delhi,89802,2803,59992
03-07-2020,Delhi,92175,2864,63007
05-07-2020,Delhi,97200,3004,68256
07-07-2020,Delhi,100823,3115,72088
08-07-2020,Delhi,102831,3165,74217
09-07-2020,Delhi,104864,3213,78199
10-07-2020,Delhi,107051,3258,82226
11-07-2020,Delhi,109140,3300,84694
12-07-2020,Delhi,110921,3334,87692
13-07-2020,Delhi,112494,3371,89968
14-07-2020,Delhi,113740,3411,91312
15-07-2020,Delhi,115346,3446,93236
16-07-2020,Delhi,116993,3487,95699
17-07-2020,Delhi,116993,3487,95699
19-07-2020,Delhi,121582,3597,101274
20-07-2020,Delhi,122793,3628,103134
21-07-2020,Delhi,123747,3663,104918
22-07-2020,Delhi,125096,3690,106118
23-07-2020,Delhi,126323,3719,107650
24-07-2020,Delhi,127364,3745,109065
25-07-2020,Delhi,128389,3777,110931
26-07-2020,Delhi,129531,3806,113068
27-07-2020,Delhi,130606,3827,114875
